ID,Product Name,Units Per Case
895310e4-1b12-4b5a-8556-a429b4fb80b8,West Coast Cure - Sample - Jack Herer Jefferey Infused 5pk 3.25g,
e2e9ac28-78de-422a-a880-a305d4270413,Stiiizy - Grape Gelato Live Resin Diamonds 1g,10
583ca1f5-5b4f-42d3-9d74-bf7a9473b887,Happy Fruit - Sample - Raspberry Remedy 2pk 20mg,24
d73e5f7d-cb56-42b1-b08e-37e313b3f401,West Coast Cure - Sample - Jack Herer Live Resin Disposable 1g,
db1154c4-88a3-4fdf-897f-6594273baf87,West Coast Cure - Promo - Gelonade x Papaya Tier 2 Rosin Cold Cure Badder 1g,10
41f7b62b-a731-4ebf-805f-bf2449c6e14e,Papa & Barkley - Releaf CBD Rich 3:1 (50ml) 600mg,12
7296a7c6-9725-49b8-b085-15ba2278e22a,West Coast Cure - Tropical Lemonade Live Resin Vape 1g,10
b17fb5fc-613c-4f06-8955-0a4fe08e64dc,West Coast Cure - Promo - Niche Tier 2 Rosin Cold Cure Badder 1g,10
e71a1ab9-8572-4cb3-8899-b68ff4fe2db3,West Coast Cure - Sample - Blue Dream Live Resin Disposable 1g,
a9af20d9-1aad-4964-9899-73e24f9b60dc,West Coast Cure - Promo - Papaya Tier 2 Live Rosin Cold Cure Badder 1g,10
9ea11591-5179-45bf-b2e8-d525b3b51175,West Coast Cure - Sample - Orange Creamsicle Live Resin Disposable 1g,
81d52d80-3b0c-477b-bd2b-b08733b5ab79,Stiiizy - Black - Ruthless OG 3.5g,20
b03c2e6e-1ed2-4f59-be84-aac4318ff00d,West Coast Cure - Gas OG Live Resin Disposable 1g,10
2eb295af-f25d-46c6-8077-4ebc19fe0c0f,West Coast Cure - Promo - Strawberry Milkshake Tier 2 Live Rosin Cold Cure Badder 1g,10
d2c62b48-647f-4eef-a492-a6b7baa6a353,Side Hustle - Mango Kush Preroll 1g,25
25dd007c-f9a1-4f0b-8aa1-4e303cb9c9fa,West Coast Cure - Promo - Lemon Bars Tier 2 Live Rosin Cold Cure Badder 1g,10
13f825c2-54f4-48ca-abbd-1da986869d56,West Coast Cure - Dirty Zprite Tier 1 Rosin Cold Cure Badder 1g,10
b1c55101-3228-43f5-bb6a-693cf77df7e1,Lime - Sample - Blueberry Headband Infused Preroll 1.75g,
15ef74fc-ab95-4d20-b1dd-88216d2c2136,West Coast Cure - Strawberry Syrup Tier 3 Rosin Cold Cure Badder 1g,10
93440d1a-d3ba-4d77-b0d0-c43660c48b0b,West Coast Cure - Niche Tier 2 Live Rosin Jam 1g,10
445bcbfb-b961-4e41-80db-60febc46ace0,Dunzo - Key Lime Pie Preroll 1g,25
3f22c6de-b31e-4120-9e35-773b4ba91b2b,Almora - Chem Dawg 3.5g,32
ce45612a-0b76-4ab5-b3f2-8d280f8b2766,Flavorade - Crumpetz Vape 1g,10
2d16d780-be71-4e1d-a247-6ccdc8a265f0,Haven - Main Collection - Grinder,20
4df65b78-0ea7-49d1-9765-21868ccac3c7,Flavorade - Sour Juice Vape 1g,10
8f1791ed-d039-407a-9d42-e7b3f15418e4,Flavorade - Lemon Cherry Gelato Vape 1g,10
c186cbb8-92e3-4d18-852e-a896cbf0ffab,Flavorade - Neon Sunshine Vape 1g,10
cdab048d-daf5-4080-a190-5fdb3adb338a,Papa & Barkley - Sleep Releaf Tincture 1:1:1 15ml,12
844bf502-9933-4ce0-85cb-7fbe706ae8d0,Dope Street - Legend OG 14g,12
944514d9-965c-417b-8c72-3af3b93e37c5,West Coast Cure - Orange Creamsicle Jefferey Infused Pre-Roll 1.2g,10
b90828a1-d4f3-46da-8e4b-50977f81ad5c,Lil' Buzzies - OG Smalls 7g,32
613133ff-d969-4072-ae17-7815bf535f12,West Coast Cure - Strawberry OGz Tier 3 Rosin Cold Cure Badder 1g,10
00726a5d-10eb-45cc-b0d9-ba0b9a2638a2,Presidential - Crescendo THC Design Preroll 1g,10
b23d0f83-4064-42c9-9393-2a8a895b5709,Vuze - Garlic Icing Live Resin Vape 1g,10
f9f11fbc-96c3-4b5c-9035-78b4450bccd4,West Coast Cure - Banana Punch Premium Bag 14g,16
1a29374e-16c2-4e44-ad9c-27c954a11f72,West Coast Cure - Sour Mango Premium Bag 3.5g,16
65f30cc2-1390-43ed-8dc0-52757a1e3608,Vuze - Nightcap Live Resin Vape 1g,10
66dc4a0e-79e8-4937-8525-d8982baaa7f3,West Coast Cure - Pink Runtz Premium Bag 3.5g,16
2813bc0f-4e32-4dd7-a193-309c89131d7a,Vuze - Donny Banana Live Resin Vape 1g,10
81367da2-2c12-4631-85dd-51e188538c8e,West Coast Cure - Face Plant Premium Bag 3.5g,16
17f07ed3-fae7-45ac-bf9c-f5547bec83b9,Stiiizy - Black - Strawberry Blonde 3.5g,20
8dbc2ed8-1026-4c2a-86e9-01082b3fadc4,West Coast Cure - Ice Cream Cake Premium Bag 14g,16
ef0d0a89-8e47-4763-bc25-773e4805079d,Almora - Ice Cream Cake 3.5g,32
eb073448-1f88-4075-8b73-22fc059a7f85,Tradtional - Sample - Blue Donut 3.5g,32
43612816-4eb8-450b-892f-74e85cc78746,Astronauts - Space Censored 3.5g,32
b693da5b-22f3-4da7-991f-4aff67059cff,Dope St. - GovernMint Oasis 14g,12
8ad6a7a8-77a1-470b-b4ab-cd99c52d468f,Dope St. - Orange Creamsicle 14g,12
8643e28f-a608-486e-af01-ac09cd6e4b01,Dunzo - Pink Runtz Preroll 1g,25
10059d60-627a-47bc-b78d-fe0ffd490ca7,Bear Labs - Champaya x Rainbow Beltz Rosin 1g,10
b5c99220-5ae8-4c4c-a80e-be3125d1d4ab,Dope St. - Gary Peyton 14g,12
27bd80f5-f709-4fbe-9852-53c20d89db21,Dunzo - Sour Tangie Preroll 1g,25
6f8c392f-1f52-4868-8fd0-6ae9e94d3435,Bear Labs - Grease Bucket x Zkittlez Rosin 1g,10
5847cfc7-dbb6-4f29-8756-61adee8018f0,Happy Fruit - Sample - Berry Cool 2pk 20mg,24
fa0cf55e-ee3e-4662-95cb-ca9bade53cd0,CES - Hash Burger Budder 1g,10
f27e7ca0-4ad1-4c41-be72-049a337e56bd,Happy Fruit - Sample - Peach Paradise 2pk 20mg,24
d4740d24-ffdb-4ca9-b565-06d879e249ae,CES - Rolina Budder 1g,10
776a4eef-ae16-440d-9353-b1e899b6adfb,Wyld - Boysenberry 1:1:1 THC:CBD:CBN Gummies 100mg,40
ffbb42bb-9e20-4ec8-8456-44a83b87f21b,Astronauts - Space Lollipops 3.5g,32
f65c5ace-59ac-47d5-abff-a45eed861606,WVY -  Sherbanger Budder 1g,10
1d2e80e9-ad5a-4d1a-a31b-fd1c6df4a945,West Coast Cure - Sample - Blockberry 3.5g,16
3528c9eb-e50a-4e10-9ab6-d4572852ea45,West Coast Cure - Sample - Fruit Tartz 3.5g,16
b070ca7f-5265-4f9d-851a-7b1925b9b2df,West Coast Cure - Gas Basket 14g,16
9389311a-9535-40df-9c83-750c4db4548f,Plug Play - DNA Island Sweet Skunk 1g,10
97fd5abd-9c87-4bd6-960d-56e986be8ad4,West Coast Cure - Lemon Cherry Gelato 14g,16
e70dc64c-c727-4a95-b5df-a060a149a79e,WVY - Chemdawg x Pink Runtz Budder 1g,10
6c3dae65-bbc7-4e8b-91c8-b82c84a8991e,MADE - Sample - Gelonade 3.5g,32
2819ce73-a0dc-437d-b287-e533d6b62f44,WVY - Green Crack Budder 1g,10
58841811-a6c7-4cec-9c12-c20f087e0ede,Flavorade - Banana MAC Cured Resin Vape 1g,10
f3e9d3aa-1879-42a4-be09-7fcde14a2399,Lime - Sample - Ice Cream Cake Live Resin Sugar 1g,10
3109dd68-6305-4438-aab9-457fbf5b67b2,Bear Labs - Chocolate Strawberry Live Resin Budder 1g,10
5faabbe6-430d-460b-bd40-96cbba9c258f,Sherbinskis - Acai Live Resin Vape 1g,25
1b242b22-5258-48ec-9a0b-aa8a10508501,Flavorade - Permanent Marker Cured Resin Vape 1g,10
57254b87-de1c-4aba-988a-9e64d0de2953,Traditional - Gummies 3.5g,32
fdfd0006-55e3-45c1-934c-b838a5390dc1,Sherbinskis - Taziki Live Resin Vape 1g,10
be273721-5059-4683-9466-c3933786f46f,Sherbinskis - Pistacchio Live Resin Vape 1g,25
ab018b77-4445-4ac4-b4c3-676cdba5e396,Bear Labs - Mendo Purple Diamonds 1g,10
b2a1ef3d-b1e2-4786-8bc9-3b7649da6107,Flavorade - Malverde Cured Resin Vape 1g,10
67762f4c-59bb-45e2-9d4b-7faffbcff0ea,Flavorade - Fat Kitty Cured Resin Vape 1g,10
8888eae4-78f3-45d0-ac49-772d53774482,Stiiizy - SFV Pod .5g,5
f8848438-40c1-4dd0-bc2e-97497ef5f716,Stiiizy - SFV Pod 1g,5
dd288208-1432-45f3-9fcf-fc4532f57004,Stiiizy - Birthday Cake Pod .5g,5
7353625a-3258-46b4-af6d-550d80829b52,Stiiizy - Do Si Dos Pod 1g,5
e6eb6ad3-1158-44e0-a7bf-677557dd8b39,Stiiizy - Pineapple Runtz Pod .5g,5
bf7fd227-040e-48d8-9914-1f5c5ed686e2,Stiiizy - Gelato Pod .5g,5
2612fe3f-904d-45fb-8534-97353f358fdb,Stiiizy - Acai Live Resin Pod 1g,5
70f5dd36-1cb7-4edb-892a-b31b38bdc80a,Stiiizy - Strawnana Pod 1g,5
7c5dac34-b78f-4c9b-a465-3e89a5a0474f,Stiiizy - OG Kush Pod .5g,5
20fc025d-dc8e-4fc9-88ae-85e3b012fb61,Stiiizy - Cereal Milk Live Resin Pod .5g,5
4ac5ec19-aad1-4f3c-9169-dda2e1bbf735,Stiiizy - Biscotti Pod 1g,5
c5be7aea-da9a-494c-9bcd-93c1fe1935ec,Stiiizy - Biscotti Pod .5g,5
fa3760cf-ba1b-4b72-b4a8-0ef8a9faee2a,Stiiizy - Pink Acai Pod 1g,5
1b8592e4-0eab-46bb-955d-11f8450c7f51,Stiiizy - Blue Burst Pod .5g,5
1e1f5e80-420f-4cb5-b8cc-62d3e04dc24e,Stiiizy - Purple Punch Pod .5g,5
6a3b4ef4-be95-4ebf-a723-23001146287a,Stiiizy - Lemon Cake Live Resin Pod 1g,5
ed44cf63-6c3f-458e-982b-cd61009fd59e,Stiiizy - Blue Burst Pod 1g,5
8244e235-3868-47d9-a28d-e07dcc678f67,Stiiizy - Kush Cake Live Resin Pod .5g,5
08b15d64-be6e-424e-9a07-3811a38b0fc8,West Coast Cure - Tropical Breeze Vape 1g,10
45207939-22bd-4716-b0d1-df1a9c367184,Stiiizy - Sour Diesel Pod 1g,5
b46bb97b-ddce-488e-8618-0b54a84430d5,Stiiizy - Sherb Cake Live Resin Pod .5g,5
5adab33a-c03b-46d7-afe7-7bc8b46299d0,Stiiizy - Sour Diesel Pod .5g,5
e26844e5-2257-4a4c-b025-972c952123c4,Stiiizy - Watermelon Z Pod .5g,5
1440b023-13e9-4214-82f4-1ab14b278a01,Stiiizy - Apple Fritter Pod 1g,5
018e2deb-bcc1-489c-8029-83d7e069604f,Stiiizy - Strawberry Cough Pod 1g,5
030c94a6-bce1-428e-be1c-288e143c46c8,Stiiizy - King Louis XIII Pod .5g,5
05232ed0-3c76-431b-b5ee-1c7b57db252a,Stiiizy - King Louis XIII Pod 1g,5
13e5debf-d870-4a1a-9ffd-d8f069d90e10,Stiiizy - Promo - Blue Burst Pod .5g,5
6e0850c1-2809-4c1a-b7dc-5c20824bb60f,Stiiizy - Strawberry Cough Pod .5g,5
059675c8-ffc1-42d1-a42e-51765a7dacd2,Stiiizy - Acai Live Resin Pod .5g,5
1d8a7194-e327-4572-b184-1a229f1769d5,Stiiizy - Promo - Blue Dream Pod .5g,5
29d77251-a728-45ba-8926-a3a1837e154d,Stiiizy - Super Lemon Haze Pod .5g,5
5a00382f-13a0-4051-be8a-ea049a4523a2,Stiiizy - Lemon Twist Live Resin Pod 1g,5
eeecd4bf-7427-4c5c-bcec-487c46b343a1,Stiiizy - White Raspberry Pod 1g,5
2a4faad2-acfb-4bd3-bae6-914d5446ce64,Stiiizy - Papaya Live Resin Pod 1g,5
2fc6ee03-f4e6-4c54-a681-559a58d76250,Stiiizy - Pineapple Express Pod .5g,5
b5ca515f-dac0-49ad-979e-1601e97b9af7,Stiiizy - Galactic Gas Live Resin Pod .5g,5
4ed0e6a7-b36b-4a4c-a2cb-3b9d5a682c17,Stiiizy - WTRMLN Live Resin Pod .5g,5
a3fd2567-548a-4277-8f02-4df9f59804cd,Stiiizy - Snow Cone Live Resin Pod 1g,5
b98eb108-d2bb-42c1-978a-5ba382997cdf,Stiiizy - Chem Reserve Live Resin Pod 1g,5
d3a5cf4a-e1e0-4b43-a6cf-ec81093d6870,West Coast Cure - Granddaddy Purple 1g,10
17860405-b1e1-47c3-a029-491dd8899b37,Stiiizy - Slurricane Live Resin Pod .5g,5
63e59572-5737-4d99-bf91-bfb8585417c5,Stiiizy - Super Glue Live Resin Pod .5g,5
7111e4e0-88cd-4665-869c-b471cc8986cd,Stiiizy - Space Glue Live Resin Pod 1g,5
87d27c74-9a6f-468e-9779-6ada6e5a3fe3,Stiiizy - Sherb Cake Live Resin Pod 1g,5
8cb3b9a2-3e78-4977-ac18-20fac338f86b,Stiiizy - Super Glue Live Resin Pod 1g,5
04dc1ddf-8c2b-4050-8880-a2e12dc06033,Stiiizy - Platinum OG Live Resin Pod 1g,5
207ace02-5d96-4367-8bad-527d8c089dfc,Stiiizy - White Runtz Live Resin Pod 1g,5
339580ab-c48d-4b45-b7a7-889ff4407a38,Stiiizy - Dub Breath Live Resin Pod 1g,5
89eeee68-e9d4-4b66-8a0e-c03f40f03b42,Stiiizy - Kush Mints Live Resin Pod .5g,5
2e8e174c-066f-4c91-b398-0623fe93f046,Lime - Sample - Purple Zaza Infused Preroll 1.75g,25
b507b0fe-e34d-4fe3-a796-2a954b0457d8,West Coast Cure - STFU OG Jefferey Infused Preroll 5pk 3.25g,10
d00b1291-e43f-4099-9d43-1cf3f23aed7b,Haven - 510 Charger,
10a471db-752b-49fd-8470-7bb2dec3a6d0,Lime - Sample - Lemon Cherry Gelato Live Resin Budder 1g,10
5c6dfafc-278d-4a2d-a9ff-73d65af0c69f,Lime - Obama Runtz Live Resin Batter 1g,10
14c2f238-54b8-49cc-8354-f55069d12531,Lime - Lemon Cherry Gelato Live Resin Budder 1g,10
f0774661-b3f3-4971-8108-a031b205fa69,Lime - Sample - Obama Runtz Live Resin Wet Batter 1g,10
e22df8b9-bbe8-4ec7-87f5-0c2ee7b604c5,Lime - Sample - Apple Tartz Live Resin Wet Batter 1g,10
b9bf33ed-6356-451d-a1c5-ade6b454a0a1,Lime - Apple Tartz Live Resin Wet Batter 1g,10
cc78d69c-773d-49a8-b8b3-f7128a6a3a7a,West Coast Cure - Rozay Premium Bag 14g,16
7c162aa4-a335-4c33-baa9-98448cc860e0,Sherbinkis - Orange Mochi Live Resin 510 Cart 1g,10
f979d87c-be44-4b40-aa43-9781c1af3bd7,Side Hustle - Blueberry Gelato Preroll 1g,25
b49e36f4-6a01-4cb7-ac34-f05e8badb577,Dunzo - Animal Mintz Preroll 1g,25
2e5e2f20-4fd0-4dd2-8aad-89ad909329b9,Dunzo - GMO Preroll 1g,25
b3ba6a66-264a-47c7-818f-365fe278209e,Lime - Sample - Blueberry Headband Lil' Lime Infused Preroll .6g,25
2bb597e6-2032-4de9-acd9-79d5e6b4fd58,West Coast Cure - Forbidden Haze Live Resin Badder 1g,10
f4529c08-390c-4f0d-b70d-bc8f6b56a0e6,Lime - Sample - Purple Zaza Infused Lil' Lime Preroll .6g,25
93a8e17f-b68f-430f-a0e7-bb09af474e12,West Coast Cure - Cookie OG Premium Bag 14g,16
91d153ec-077b-4f0e-9c94-16681b8c6488,Jeeter - Island Papaya XL Infused Preroll 2g,10
1cbb4f68-cf1c-42a0-969d-60783c29cc24,Jeeter - Granddaddy Purp Liquid Diamonds Vape 1g,12
f889a840-9085-4607-9c29-33bf9ae5daac,Bear Labs - Hardcore OG Budder 1g,10
b0c9d6f8-26fa-4e07-ba2c-35874c63f437,Bear Labs - Taglongz x Zkittlez Rosin 1g,10
e079cf08-6d9a-4f74-85c4-29575c1d8adf,CES - Grape Certz Budder 1g,10
e3182a5b-cfce-473f-890e-2478f35b6d8f,Bear Labs - Lavender Lemonade Budder 1g,10
a9ae0854-a288-4bd8-9d25-e3703254c2db,Bear Labs - Sugar Biscuits Budder 1g,10
231a1ecd-6067-4e52-a3fa-3ca74bc221a4,WVY - Pink Dosi Budder 1g,10
27f0e822-d88b-432d-a3e6-e6d42631b2d2,WVY - Hashplant X G13 Budder 1g,10
f62a47c7-1c04-4e0a-abfe-0953d678dc1a,WVY - Banana Dream Budder 1g,10
ab7318f6-eace-4e7a-8def-af58b18e5a03,Jeeter - Iced Matcha Infused XL Preroll 2g,10
6b5f9247-a220-429e-9b7f-c09a872b510d,Jeeter - High Tide Infused Preroll 1g,25
bfeb4954-5efc-4581-a1bc-cde9e2d3876d,Traditional - Lolly 3.5g,32
8ebcdd1b-9fb9-4418-858f-8e1b756a55fd,Almora - Super Lemon Haze 3.5g,32
4631ed74-f2c0-4f81-97a0-97af2d4c36d8,Flavorade - Curelato Cured Resin Vape 1g,10
bd430719-eb3b-474c-9043-2c08d05f2635,Jeeter -  Honey Dew Infused Preroll 1g,25
ed54f927-acb1-4f25-a5cf-7dd93c2e269e,Pretty Dope - Appletini Live Resin Vape 1g,20
50cfa447-45d8-4b2c-8b47-e678111071dd,Pretty Dope - Kiwi Kiss Live Resin Vape 1g,20
43309c86-23a3-42b9-8263-a9f5c2a3f7dd,Pretty Dope - Lemon Drop Live Resin Vape 1g,20
706977fd-5493-4714-9aec-29f77a6aff68,Pretty Dope - Rose All Day Live Resin Vape 1g,20
8167bf16-a1df-4f47-909a-38bff045ab47,Pretty Dope - Blueberry Baddie Live Resin Vape 1g,20
111bb14f-32fe-4f5f-9444-42141ded4042,Fog City Farms - Sample - Coastal Runtz Shark Bites Infused Rosin Preroll 1.4g,
676ffe16-2969-4636-88f3-ced63f8a4924,Pretty Dope - 510 Pink Battery,5
d87e220c-d27c-4802-a336-a4069b6fc0c1,Pretty Dope - Raspberry Parfait Live Resin Vape 1g,20
176e20b4-b919-4df5-9449-c9b835fa7e29,Plug Play - DNA Fire OG 1g,10
7f57d6ac-f074-4fe1-ae58-6515bbe6d4e8,Presidential - Sample - Classic Preroll 1g,10
64297d9d-76b1-41d4-b9d8-2d755403b348,Kurvana - Blueberry Gelato ASCND 1g,10
2cd66a15-ca4f-4535-82fb-709af2de6559,Kurvana - Papaya Hills ASCND 1g,10
fa920e3d-0eab-4690-b28b-93b12ad6d234,Kurvana - Honey Melonade ASCND 1g,10
ce05dada-5556-4951-b0cf-26c3c9bc94dc,Cizi - Sample -Tsunami Preroll 1g,50
0af462e2-25f8-4f00-97d6-095d4b9a63db,Presidential - Sample - Peach Mango Preroll 1g,10
aaa839f0-2220-4f93-91ad-9c143c2aa7c7,Traditional - Spray Paint 3.5g,32
80c2a057-3fcf-4b95-8a23-402f317f6c85,Cizi - Sample - Tropical Runtz Cart 1g,
7d1bd112-dd12-4f6e-8e96-4edf2105d521,Presidential - Sample - Watermelon Preroll 1g,10
29f16d75-ef29-49c6-a67f-da2a534f7698,Cizi - Sample - Godfather OG Preroll 1g,
3ad7371d-517f-4796-ba30-0cbba8528236,Cizi - Maui Wowie Preroll 1g,50
0767af18-bd35-4f7d-9b4a-575544a92132,Cizi - Sample - Pineapple Upside-Down Cake Cart 1g,
8eb40d60-a548-4cd5-bd0d-633604e87981,Flavorade - Lavender Lemonade Cured Resin Vape 1g,10
c7ea1702-cf26-4d2d-899d-0bb790f41c67,Jeeter - Master Kush Mini Resin Cannons Preroll 3pk 1.5g,16
211e44e0-9742-4b19-9972-47f7fa96da20,Jeeter - Ultra OG Infused Resin  Baby Cannons Preroll 3pk 0.5g,16
26a25e34-7d58-45a3-9c94-5b1c120c49e1,West Coast Cure - Guava Juice Smalls 7g,16
7ddb6ff7-fe2b-41be-9a4a-453a753cd3c7,West Coast Cure - Pink Sherbet Smalls 7g,16
28f5f439-a743-4fd9-ba91-79f14780b7db,West Coast Cure - London Pound Cake Headstash 3.5g,16
2f63e579-1899-4ac0-b30c-41047914ad3d,Jeeter - Tropicali Infused Preroll 1g,25
8ccc6d80-8732-4f58-90db-e2fd8edec810,Dr. Norm's - NANO Cinnamon Toast Crispy Rice Bar 100mg,12
9c3db634-27bc-4342-9059-3601cf0b67e0,Blem - Tangie Preroll 3.75g 5pk,25
9951ca38-414a-4e5d-86e0-df1192e3d4c5,Turn - Berry Dreamy Disposable 2g,
5fa2fc97-aeb8-4217-aca0-31a4d658310f,Jeeter - Honey Dew XL Infused Preroll 2g,10
7893c263-43e1-428d-9643-a480f9ad042d,Haven - Limited Edition - Kushmas Acrylic Pin,
1dd961b5-c330-410a-b075-b3b0b50be8e0,Haven - Limited Edition - Kushmas Sticker Sheet,
2c32556e-9c69-4e99-bd44-99c8a7ed7424,Black Label - Blue Warhead 3.5g,32
97ca8966-ff62-47bb-8773-7686735474bf,Flavorade - Blue Dream Runtz Cured Resin Vape 1g,10
5f1017af-91ad-4cb1-9ee3-385e6188a93c,Coastal Cowboys - Blue Dream 3.5g,32
b4903723-1233-48a2-a41e-575bc9d474a5,Block Party - Blueberry Froyo 28g,12
e6515ede-8a85-4ea8-b301-551ecf895277,Flavorade - Dip N Stix Cured Resin Vape 1g,10
dbef1c65-7d68-43ec-ae8b-1e887df8d495,Coastal Cowboys - Sample - Candy Jack 3.5g,
8d7d254f-91a2-469b-8035-be3990960cee,Coastal Cowboys - Sample - Grapes and Cream 28g,12
ecfa17e0-bc64-41dc-acea-9ce2b72dc417,Blem - Tangie Preroll .75g,50
e3644592-d8e2-47d4-a16f-d498964dcbcd,West Coast Cure - Rainbow Runtz Premium Bag 3.5g,16
719c36bc-2dc0-422a-b094-e63b97247904,West Coast Cure - Airheadz Premium Bag 3.5g,16
01c77e4f-2e52-4736-9bfc-5ee0e5c7b38c,Camino - Black Cherry Chews 100mg,20
23951585-de93-473c-b467-d17f8a207d94,Cizi - White Widow Preoll 1g,50
d2369466-8c09-45f1-bbf1-185c4043dcb3,Cizi - Super Silver Haze Preroll 1g,50
ae7cd0d0-57f2-4c40-8ead-b8084f262e1e,Lost Farm - Mango (Amarelo) Live Resin Chews 100mg,20
bbdf8827-59d7-4e8b-8d8f-5a81ac2af89c,Cizi - Godfather OG Preroll 1g,50
4ce9500d-3af7-4591-96b4-f7f062dda988,Cizi - Sample - Glitter Bomb Preroll 1g,50
c5e4d56d-12b0-43fd-b3dc-4c5a3b10d8ac,Stiiizy - Pro Cheetah Battery,5
f38fa316-8d8a-4864-b153-7185aa64d54b,Dope St. - Sour Jack 14g,12
238d8d50-d914-4066-9d8b-a2d06dbaa84d,Stiiizy - Purple Haze Liquid Diamonds Pod 0.5g,5
312845a7-2575-4e6b-8230-cc931c670b75,Flavorade - Afghani Gelonade Cured Resin Vape 1g,10
7733aaf7-6a62-44b1-84db-7fc0b16c13ea,Flavorade - Cherry Zeltzer Cured Resin Vape 1g,10
933b0c91-a075-4505-802c-19b416c36a3a,Flavorade - Gello Vape 1g,10
9ebdfae9-8f6f-4ee1-a747-0ff76ed469af,Flavorade - MoonDrops Cured Resin Vape 1g,10
2a049b21-e5bd-4443-adea-a730a85bd1f4,Flavorade - Tiki Sunset Cured Resin Vape 1g,10
dc41c3ba-f412-4313-a50e-d39a56561492,Stiiizy - Pro Camo Battery,5
11d57d33-5130-4698-997c-67368ab0f10c,Stiiizy - Pro Gold Battery,5
a14aace7-015b-4efe-87d0-c0450182d9b3,Stiiizy - Pro Green Battery,5
5dac3e61-3acf-4e86-9e9d-bf2e76003ef3,Cizi - Purple Octane Preroll 1g,50
19908492-3081-4862-9ff6-5e17dd4c9282,Stiiizy - Pro Neon Pink Battery,5
bbcabcb3-46a9-4a19-b77a-8109e79e5e99,Stiiizy - Pro Purple Battery,5
c9adcd6b-ea85-4f64-9771-f73acd1b0e44,Stiiizy - Pro Red Battery,5
25bbdcb4-53f4-43a1-af7c-20b1639fea56,Stiiizy - Pro Rose Battery,5
6f206de1-e9c9-4edb-9a5a-73f76da5d3a1,Stiiizy - Pro Silver Battery,5
d66fa112-4b44-41ed-b038-c967c3dc7555,Jeeter - Orange Daiquiri Baby Infused Preroll 5pk,25
d6178175-e94b-4c14-a657-5e50fa9ae614,Jeeter - In Da Couch Infused Mini Cannon Preroll 3pk 1.5g,16
a9c0b132-d34f-45d3-af1c-5511c6216882,Stiiizy - Pro Black Battery,5
37bb254c-b17d-477f-b57b-0b0f9cfc38a0,Vuze - Agua Fresca Live Resin Vape 1g,10
de90858d-df03-4fef-ac05-bbfe92251a9c,VUZE - Strawberry Doulce Live Resin Vape Cart 1g,10
7f9f93f9-ed39-4586-82a6-9a3314b00c45,Jeeter - Apple Fritter Infused Preroll 1g,25
99a75b19-4c41-4f45-aaf7-1525216041b9,Almora - Gelato Cake 3.5g,32
ccfa44d6-adec-475b-9d6b-bc97edc3efd2,Jeeter - Durban Poison Infused XL Preroll 2g,10
d693e76a-1069-4b19-83d5-dc271b299ca0,Blem - Cyattie 3.5g,32
f3df6038-fafd-47e8-a9aa-db87a77753a3,Jeeter - Sample - Iced Matcha Infused Preroll 0.5g,25
