Product Name,Purchase Order Date,Purchase Order Number,Purchase Quantity
Cizi - Maui Wowie Preroll 1g,2025-02-03 11:56:18,PO-0001281,400
Crave - Peanut Buttercup Chocolate 100mg,2025-03-03 15:05:57,PO-0001388,30
Froot - M.Y. Sleep 5:2 THC:CBN 100mg,2025-03-17 13:22:50,PO-0001433,300
Froot - M.Y. Sleep 5:2 THC:CBN 100mg,2025-04-02 11:44:13,PO-0001498,200
Crave - Peanut Buttercup Chocolate 100mg,2025-01-27 12:12:29,PO-0001255,90
Cizi - Maui Wowie Preroll 1g,2025-02-13 9:43:10,PO-0001330,100
Froot - M.Y. Sleep 5:2 THC:CBN 100mg,2025-03-05 10:35:17,PO-0001396,600
Kiva - Terra Dark Chocolate Espresso Beans Bites,2025-04-22 15:42:11,PO-0001566,200
West Coast Cure - Caramel Apple Live Resin Vape 1g,2025-03-06 13:07:28,PO-0001401,10
Crave - Peanut Buttercup Chocolate 100mg,2025-04-21 13:52:28,PO-0001561,20
West Coast Cure - Caramel Apple Live Resin Vape 1g,2025-03-06 13:07:28,PO-0001401,110
West Coast Cure - Purple Milk Headstash 3.5g,2025-02-18 11:30:36,PO-0001352,96
West Coast Cure - Purple Milk Headstash 3.5g,2025-02-04 15:52:41,PO-0001288,192
Side Hustle - Pineapple Express Vape 1g,2025-03-31 15:17:06,PO-0001486,600
Pretty Dope - Platinum Kush Vape 1g,2025-03-25 9:10:44,PO-0001465,180
Pretty Dope - Platinum Kush Vape 1g,2025-04-14 9:23:53,PO-0001542,200
Crave - Peanut Buttercup Chocolate 100mg,2025-01-20 15:12:11,PO-0001241,40
Crave - Peanut Buttercup Chocolate 100mg,2025-03-31 15:17:06,PO-0001486,30
Lost Farm - Promo -Watermelon Ice Cream Rosin Gummies 10mg,2025-03-03 16:39:54,PO-0001392,192
Side Hustle - Pineapple Express Vape 1g,2025-03-03 15:05:57,PO-0001388,70
Side Hustle - Pineapple Express Vape 1g,2025-02-17 12:17:17,PO-0001343,150
Side Hustle - Pineapple Express Vape 1g,2025-02-17 12:17:17,PO-0001343,140
Side Hustle - Pineapple Express Vape 1g,2025-04-14 11:46:55,PO-0001544,50
Side Hustle - Pineapple Express Vape 1g,2025-02-24 14:52:47,PO-0001368,150
Side Hustle - Pineapple Express Vape 1g,2025-04-14 9:23:53,PO-0001542,300
Side Hustle - Pineapple Express Vape 1g,2025-01-27 12:12:29,PO-0001255,470
Side Hustle - Northern Lights Live Resin Vape 1g,2025-03-03 15:05:57,PO-0001388,60
Side Hustle - Northern Lights Live Resin Vape 1g,2025-03-31 15:17:06,PO-0001486,120
Uncle Arnie's - Strawberry Soda 100mg,2025-04-22 16:47:13,PO-0001567,72
Side Hustle - Northern Lights Live Resin Vape 1g,2025-02-24 14:52:47,PO-0001368,100
Side Hustle - Northern Lights Live Resin Vape 1g,2025-02-17 12:17:17,PO-0001343,120
Side Hustle - Northern Lights Live Resin Vape 1g,2025-03-25 9:10:44,PO-0001465,300
Plug Play - Exotics Peach Ringz 1g,2025-01-30 12:10:03,PO-0001273,120
Uncle Arnie's - Strawberry Soda 100mg,2025-02-03 10:41:33,PO-0001279,96
Uncle Arnie's - Strawberry Soda 100mg,2025-02-24 11:39:27,PO-0001365,240
Fog City Farms - Sample - Pacific Gas Smalls 7g,2025-01-23 8:22:31,PO-0001250,20
Sip Elixirs - Dreamberry 100mg,2025-04-06 10:49:38,PO-0001514,320
Fog City Farms - Sample - Pacific Gas Smalls 7g,2025-04-05 11:51:48,PO-0001510,20
Fog City Farms - Sample - Pacific Gas Smalls 7g,2025-02-14 10:28:24,PO-0001338,20
Fog City Farms - Sample - Pacific Gas Smalls 7g,2025-03-25 8:58:46,PO-0001464,20
Fog City Farms - Sample - Pacific Gas Smalls 7g,2025-03-06 10:25:48,PO-0001400,20
Fog City Farms - Sample - Pacific Gas Smalls 7g,2025-01-28 8:10:17,PO-0001261,20
Uncle Arnie's - Strawberry Soda 100mg,2025-03-24 10:53:37,PO-0001459,144
Uncle Arnie's - Strawberry Soda 100mg,2025-04-02 11:31:22,PO-0001497,72
Dunzo - Rainbow FroYo Disposable 1g,2025-03-31 14:45:46,PO-0001485,1139
Vuze - Shady Apples Live Resin Vape 1g,2025-02-20 13:05:58,PO-0001360,100
Dunzo - Rainbow FroYo Disposable 1g,2025-01-28 7:49:45,PO-0001260,1145
Pretty Dope - Platinum Kush Vape 1g,2025-04-21 13:52:28,PO-0001561,80
Pretty Dope - Platinum Kush Vape 1g,2025-03-31 15:17:06,PO-0001486,400
Papa & Barkley - Releaf Transdermal Patch THC Rich 1:3 30mg,2025-02-07 7:44:16,PO-0001294,50
Papa & Barkley - Releaf Transdermal Patch THC Rich 1:3 30mg,2025-03-19 14:39:54,PO-0001447,50
Uncle Arnie's - Watermelon Wave 10mg,2025-03-13 11:07:43,PO-0001427,216
Crave - Peanut Buttercup Chocolate 100mg,2025-02-10 16:48:59,PO-0001324,110
Stiiizy - Skywalker 40's Infused Preroll 1g,2025-01-22 10:20:28,PO-0001245,290
Stiiizy - Skywalker 40's Infused Preroll 1g,2025-03-21 13:40:13,PO-0001455,300
Stiiizy - Skywalker 40's Infused Preroll 1g,2025-03-12 10:08:33,PO-0001420,580
Stiiizy - Skywalker 40's Infused Preroll 1g,2025-01-16 12:02:55,PO-0001226,230
Stiiizy - Skywalker 40's Infused Preroll 1g,2025-02-25 14:31:57,PO-0001373,500
Uncle Arnie's - Strawberry Soda 100mg,2025-03-13 11:07:43,PO-0001427,216
Turn - Berry Dreamy Turn Down Disposable 1g,2025-03-26 13:50:36,PO-0001473,1000
Uncle Arnie's - Watermelon Wave 10mg,2025-03-18 15:19:39,PO-0001443,408
Uncle Arnie's - Watermelon Wave 10mg,2025-03-03 16:22:11,PO-0001391,72
Uncle Arnie's - Watermelon Wave 10mg,2025-03-24 10:53:37,PO-0001459,432
West Coast Cure - Sour Berry Punch Diamonds 1g,2025-03-26 18:08:08,PO-0001474,150
West Coast Cure - Florida Oranges Headstash 3.5g,2025-03-26 18:08:08,PO-0001474,256
West Coast Cure - Florida Oranges Headstash 3.5g,2025-03-11 10:23:17,PO-0001415,320
Mini Bubbler,2025-04-06 14:53:28,PO-0001520,330
Jeeter - Apples & Bananas Infused Preroll 1g,2025-01-15 12:35:02,PO-0001223,300
Jeeter - Apples & Bananas Infused Preroll 1g,2025-01-15 12:35:18,PO-0001221,200
Uncle Arnie's - Watermelon Wave 10mg,2025-01-07 10:20:49,PO-0001198,240
Stiiizy - Strawberry Cough Pod .5g,2025-01-22 10:20:28,PO-0001245,90
Plug Play - Green Steel Battery,2025-03-13 11:22:30,PO-0001424,20
Stiiizy - Strawberry Cough Pod .5g,2025-04-25 10:12:10,PO-0001580,100
Plug Play - Green Steel Battery,2025-04-03 14:41:16,PO-0001507,60
Plug Play - Green Steel Battery,2025-04-24 13:11:28,PO-0001572,30
Yummi Karma - Stay Lifted Tincture 300mg,2025-03-10 16:03:57,PO-0001411,48
Plug Play - Green Steel Battery,2025-01-09 13:31:44,PO-0001208,50
Lime - Sample - Pineapple Express Infused Preroll 5pk,2025-04-10 15:44:32,PO-0001534,10
Uncle Arnie's - Magic Mango 100mg,2025-02-03 10:41:33,PO-0001279,192
Uncle Arnie's - Watermelon Wave 10mg,2025-04-02 11:31:22,PO-0001497,360
Uncle Arnie's - Magic Mango 100mg,2025-03-18 15:19:39,PO-0001443,72
Uncle Arnie's - Magic Mango 100mg,2025-01-28 11:29:27,PO-0001263,72
Uncle Arnie's - Magic Mango 100mg,2025-04-02 11:31:22,PO-0001497,192
Uncle Arnie's - Magic Mango 100mg,2025-02-24 11:39:27,PO-0001365,120
Uncle Arnie's - Magic Mango 100mg,2025-02-13 13:24:53,PO-0001335,144
Uncle Arnie's - Magic Mango 100mg,2025-01-17 10:35:21,PO-0001230,120
Plug Play - Green Steel Battery,2025-02-27 14:04:55,PO-0001381,20
WVY - Garlic Breath Budder 1g,2025-03-14 10:14:34,PO-0001430,300
Jeeter - Honey Dew XL Infused Preroll 2g,2025-02-19 11:20:22,PO-0001355,200
Uncle Arnie's - Watermelon Wave 10mg,2025-01-17 10:35:21,PO-0001230,672
Stiiizy - Strawberry Cough Pod .5g,2025-01-16 12:02:55,PO-0001226,160
Turn - Berry Dreamy Turn Down Disposable 1g,2025-02-24 16:23:17,PO-0001370,440
Yummi Karma - Stay Lifted Tincture 300mg,2025-04-14 11:46:55,PO-0001544,24
Bear Labs - Sample - Sour Chem 91 Budder 1g,2025-03-20 15:27:40,PO-0001451,5
Yummi Karma - Stay Lifted Tincture 300mg,2025-03-17 13:29:29,PO-0001434,48
Uncle Arnie's - Watermelon Wave 10mg,2025-01-28 11:29:27,PO-0001263,312
Stiiizy - Strawnana 40's Mini Infused Preroll 5pk 2.5g,2025-04-01 15:45:38,PO-0001494,100
Daily Dose - High C Syringe 1g,2025-02-07 9:23:08,PO-0001297,1
Presidential - Blue Raspberry Blunt 1.5g,2025-02-26 15:57:18,PO-0001378,80
Presidential - Blue Raspberry Blunt 1.5g,2025-03-31 14:14:54,PO-0001484,200
Stiiizy - Strawnana 40's Mini Infused Preroll 5pk 2.5g,2025-04-16 12:41:28,PO-0001550,40
Daily Dose - High C Syringe 1g,2025-02-07 9:23:56,PO-0001298,3
Almora - Slurricane 3.5g,2025-03-12 13:22:45,PO-0001422,256
Almora - Slurricane 3.5g,2025-03-19 14:39:54,PO-0001447,224
Almora - Slurricane 3.5g,2025-03-05 14:15:59,PO-0001398,256
Almora - Slurricane 3.5g,2025-01-31 15:40:25,PO-0001278,352
Lost Farm - Raspberry (Wedding Cake) Live Resin Gummies 100mg,2025-01-28 12:06:03,PO-0001264,96
Uncle Arnie's - Strawberry Soda 100mg,2025-03-03 16:22:11,PO-0001391,216
Daily Dose - High C Syringe 1g,2025-02-07 9:23:08,PO-0001297,5
Presidential - Blue Raspberry Blunt 1.5g,2025-02-14 13:42:57,PO-0001340,120
Daily Dose - High C Syringe 1g,2025-02-17 12:17:17,PO-0001343,40
Presidential - Blue Raspberry Blunt 1.5g,2025-02-05 15:25:07,PO-0001290,20
Presidential - Blue Raspberry Blunt 1.5g,2025-04-16 9:22:31,PO-0001547,60
West Coast Cure - Cereal Milk Vape 1g,2025-03-06 13:07:28,PO-0001401,260
Yummi Karma - Stay Lifted Tincture 300mg,2025-02-03 15:26:22,PO-0001283,48
West Coast Cure - Cereal Milk Vape 1g,2025-03-26 18:08:08,PO-0001474,260
Lost Farm - Raspberry (Wedding Cake) Live Resin Gummies 100mg,2025-04-22 15:42:11,PO-0001566,120
West Coast Cure - Cereal Milk Vape 1g,2025-01-22 16:54:58,PO-0001249,330
Crave - Mini Cookies and Cream Chocolate 10mg,2025-01-27 12:12:29,PO-0001255,500
Crave - Mini Cookies and Cream Chocolate 10mg,2025-03-25 9:10:44,PO-0001465,650
Traditional - Mango Sticky Rice 3.5g,2025-04-02 14:40:03,PO-0001503,480
Daily Dose - High C Syringe 1g,2025-02-07 9:23:08,PO-0001297,1
Block Party - Molotov Cocktail 28g,2025-01-06 11:44:06,PO-0001192,786
West Coast Cure - Pink Cookies Live Resin Sugar 1g,2025-04-18 9:09:08,PO-0001557,100
Stiiizy - Blue Dream 40's Infused Preroll 1g,2025-02-14 9:04:49,PO-0001337,70
Stiiizy - Blue Dream 40's Infused Preroll 1g,2025-02-25 14:31:57,PO-0001373,430
Stiiizy - Strawberry Cough Pod .5g,2025-02-25 14:31:57,PO-0001373,95
West Coast Cure - Pink Cookies Live Resin Sugar 1g,2025-01-22 16:54:58,PO-0001249,120
Kurvana - C. Jack ASCND 1g,2025-03-27 9:57:03,PO-0001475,300
Stiiizy - Blue Dream 40's Infused Preroll 1g,2025-04-16 12:41:28,PO-0001550,200
Stiiizy - Blue Dream 40's Infused Preroll 1g,2025-03-21 13:40:13,PO-0001455,170
Stiiizy - Blue Dream 40's Infused Preroll 1g,2025-01-22 10:20:28,PO-0001245,440
Stiiizy - Strawberry Cough Pod .5g,2025-04-16 12:41:28,PO-0001550,50
Stiiizy - Blue Dream 40's Infused Preroll 1g,2025-04-01 15:45:38,PO-0001494,170
Stiiizy - Strawberry Cough Pod .5g,2025-03-21 13:40:13,PO-0001455,200
Yummi Karma - Stay Lifted Tincture 300mg,2025-04-21 13:52:28,PO-0001561,48
Stiiizy - Blue Dream 40's Infused Preroll 1g,2025-03-12 10:08:33,PO-0001420,180
Crave - Mini Cookies and Cream Chocolate 10mg,2025-01-20 15:12:11,PO-0001241,300
Presidential - XXX Moxie Blunt 1.5g,2025-03-07 9:22:46,PO-0001402,240
Stiiizy - Blue Dream 40's Infused Preroll 1g,2025-01-16 12:02:55,PO-0001226,100
Crave - Mini Cookies and Cream Chocolate 10mg,2025-03-10 16:03:57,PO-0001411,150
Crave - Mini Cookies and Cream Chocolate 10mg,2025-04-21 13:52:28,PO-0001561,350
Crave - Mini Cookies and Cream Chocolate 10mg,2025-02-24 14:52:47,PO-0001368,300
Crave - Mini Cookies and Cream Chocolate 10mg,2025-02-17 12:17:17,PO-0001343,300
Crave - Mini Cookies and Cream Chocolate 10mg,2025-03-31 15:17:06,PO-0001486,200
Stiiizy - Sample - Pink Runtz Liquid Diamonds All In One 1g,2025-02-14 9:04:49,PO-0001337,80
Crave - Mini Cookies and Cream Chocolate 10mg,2025-01-14 8:37:03,PO-0001213,100
CES - LA Lemon Cherry Budder 1g,2025-02-19 12:38:31,PO-0001356,120
Stiiizy - White Walker Curated Live Resin 1g,2025-02-25 14:31:57,PO-0001373,50
Stiiizy - White Walker Curated Live Resin 1g,2025-02-25 14:31:57,PO-0001373,350
Stiiizy - White Walker Curated Live Resin 1g,2025-04-16 12:41:28,PO-0001550,600
Stiiizy - White Walker Curated Live Resin 1g,2025-03-21 13:40:13,PO-0001455,400
Stiiizy - White Walker Curated Live Resin 1g,2025-04-25 10:12:10,PO-0001580,350
Stiiizy - White Walker Curated Live Resin 1g,2025-01-31 10:54:33,PO-0001275,400
Lime - Fruit Punch Live Resin Syrup 1000mg,2025-04-25 12:20:27,PO-0001582,20
Lime - Fruit Punch Live Resin Syrup 1000mg,2025-03-18 12:24:00,PO-0001437,50
Happy Fruit - Strawberry Limeade Rosin Gummies THC:THC-V 2:1 100mg,2025-03-25 14:06:34,PO-0001468,528
Happy Fruit - Strawberry Limeade Rosin Gummies THC:THC-V 2:1 100mg,2025-02-10 15:22:46,PO-0001320,336
Happy Fruit - Strawberry Limeade Rosin Gummies THC:THC-V 2:1 100mg,2025-02-20 16:55:36,PO-0001363,360
Fog City Farms - Pacific Gas Smalls 7g,2025-01-23 8:22:31,PO-0001250,160
Happy Fruit - Strawberry Limeade Rosin Gummies THC:THC-V 2:1 100mg,2025-01-20 14:50:28,PO-0001237,312
Fog City Farms - Pacific Gas Smalls 7g,2025-03-25 8:58:46,PO-0001464,480
Fog City Farms - Pacific Gas Smalls 7g,2025-04-05 11:51:48,PO-0001510,672
Happy Fruit - Strawberry Limeade Rosin Gummies THC:THC-V 2:1 100mg,2025-03-11 9:05:53,PO-0001413,432
Presidential - XXX Moxie Blunt 1.5g,2025-01-29 9:59:00,PO-0001266,800
Happy Fruit - Strawberry Limeade Rosin Gummies THC:THC-V 2:1 100mg,2025-01-16 14:37:08,PO-0001228,96
Presidential - Pineapple Blunt 1.5g,2025-01-15 10:22:44,PO-0001218,20
Happy Fruit - Strawberry Limeade Rosin Gummies THC:THC-V 2:1 100mg,2025-03-20 13:10:17,PO-0001449,96
Vuze - Strawberry Guava OG Live Resin Vape 1g,2025-02-20 13:05:58,PO-0001360,100
Happy Fruit - Strawberry Limeade Rosin Gummies THC:THC-V 2:1 100mg,2025-02-28 9:25:31,PO-0001383,264
Happy Fruit - Strawberry Limeade Rosin Gummies THC:THC-V 2:1 100mg,2025-01-06 7:45:23,PO-0001188,408
Camino - Watermelon Lemonade Gummies 100mg,2025-03-13 11:28:06,PO-0001426,520
Flavorade - Curelato Cured Resin Vape 1g,2025-01-07 9:35:16,PO-0001197,120
Presidential - Pineapple Blunt 1.5g,2025-03-31 14:14:54,PO-0001484,180
Presidential - Pineapple Blunt 1.5g,2025-01-29 9:59:00,PO-0001266,200
Plug Play - DNA - Syndicate OG 1g,2025-04-03 14:44:35,PO-0001508,50
Plug Play - DNA - Syndicate OG 1g,2025-01-30 12:10:03,PO-0001273,50
Plug Play - DNA - Syndicate OG 1g,2025-04-24 12:52:45,PO-0001571,200
Fog City Farms - Pacific Gas Smalls 7g,2025-03-11 12:18:58,PO-0001416,96
Made from Dirt - Sunflower Salve 1:1 100mg,2025-01-20 15:12:11,PO-0001241,10
Stiiizy -  Northern Lights Liquid Diamonds Pod 1g,2025-02-14 9:04:49,PO-0001337,30
Uncle Arnie's - Sample - Orange Soda 100mg,2025-02-07 13:57:33,PO-0001318,120
Yummi Karma - Stay Lifted Tincture 300mg,2025-02-24 14:52:47,PO-0001368,24
Presidential - Grape Blunt 1.5g,2025-01-15 10:22:44,PO-0001218,150
West Coast Cure - Juicy Blueberries Live Resin Vape 1g,2025-03-06 13:07:28,PO-0001401,120
West Coast Cure - Juicy Blueberries Live Resin Vape 1g,2025-02-12 10:20:00,PO-0001326,150
Coastal Cowboys - Afgooey 28g,2025-03-17 12:27:02,PO-0001432,803
Astral Farms - Molotov Cocktail 3.5g,2025-01-06 11:44:06,PO-0001192,610
Presidential - Grape Blunt 1.5g,2025-02-05 15:25:07,PO-0001290,170
St. Ides - Sample - Lemonade High Tea 100mg,2025-01-20 14:59:55,PO-0001239,96
Martians - Super Lemon Cherry 3.5g,2025-03-18 14:51:41,PO-0001439,128
Presidential - Grape Blunt 1.5g,2025-03-31 14:14:54,PO-0001484,240
Stiiizy - Purple Haze Liquid Diamonds Pod 1g,2025-02-14 9:04:49,PO-0001337,30
Dr. Norm's - Chocolate Chip Cookies 10pk 100mg,2025-03-17 11:15:43,PO-0001431,84
Dr. Norm's - Chocolate Chip Cookies 10pk 100mg,2025-02-05 10:27:13,PO-0001289,84
Dr. Norm's - Chocolate Chip Cookies 10pk 100mg,2025-02-17 11:56:57,PO-0001341,48
Dr. Norm's - Chocolate Chip Cookies 10pk 100mg,2025-03-06 10:21:22,PO-0001399,84
Dr. Norm's - Chocolate Chip Cookies 10pk 100mg,2025-01-21 10:43:34,PO-0001242,108
Dr. Norm's - Chocolate Chip Cookies 10pk 100mg,2025-02-26 11:59:02,PO-0001375,180
Presidential - Grape Blunt 1.5g,2025-01-29 9:59:00,PO-0001266,120
Presidential - Grape Blunt 1.5g,2025-03-19 12:45:59,PO-0001445,340
Jeeter - Tropicali Infused Preroll 1g,2025-01-27 8:46:15,PO-0001253,300
Jeeter - Pina Colada Infused Baby Preroll 5pk 2.5g,2025-03-18 14:46:09,PO-0001441,100
West Coast Cure - Tequila Sunrise Smalls 7g,2025-03-26 18:08:08,PO-0001474,320
Uncle Arnie's - Watermelon Wave 10mg,2025-02-07 8:36:04,PO-0001295,144
Uncle Arnie's - Watermelon Wave 10mg,2025-02-03 10:41:33,PO-0001279,600
Camino - Wild Cherry Gummies 1:1:1 THC:CBC:CBG 100mg,2025-02-24 13:53:57,PO-0001366,140
Camino - Wild Cherry Gummies 1:1:1 THC:CBC:CBG 100mg,2025-03-24 14:20:00,PO-0001461,440
Fog City Farms - Pacific Gas Smalls 7g,2025-01-28 8:10:17,PO-0001261,544
Fog City Farms - Pacific Gas Smalls 7g,2025-03-06 10:25:48,PO-0001400,96
Fog City Farms - Pacific Gas Smalls 7g,2025-02-14 10:28:24,PO-0001338,256
Side Hustle - 510 White Battery,2025-03-31 15:51:56,PO-0001487,150
Good Tide - Guava Balanced Rosin Gummies 100mg,2025-02-07 12:07:36,PO-0001314,280
Good Tide - Guava Balanced Rosin Gummies 100mg,2025-03-20 14:21:59,PO-0001450,240
Good Tide - Guava Balanced Rosin Gummies 100mg,2025-01-31 12:12:01,PO-0001276,261
Good Tide - Guava Balanced Rosin Gummies 100mg,2025-01-31 12:12:01,PO-0001276,619
Jeeter - Tropicali Baby Infused Baby Preroll 5pk,2025-01-27 8:46:15,PO-0001253,700
Good Tide - Guava Balanced Rosin Gummies 100mg,2025-03-10 14:14:30,PO-0001409,560
Camino - Wild Cherry Gummies 1:1:1 THC:CBC:CBG 100mg,2025-02-03 11:06:47,PO-0001280,100
Coastal Cowboys - Northern Lights 28g,2025-03-31 14:45:46,PO-0001485,778
Camino - Wild Cherry Gummies 1:1:1 THC:CBC:CBG 100mg,2025-03-13 11:28:06,PO-0001426,260
Camino - Wild Cherry Gummies 1:1:1 THC:CBC:CBG 100mg,2025-04-22 15:42:11,PO-0001566,300
Camino - Wild Cherry Gummies 1:1:1 THC:CBC:CBG 100mg,2025-02-06 14:33:02,PO-0001292,200
Crave - Sample - Milk Chocolate 100mg,2025-04-11 11:54:35,PO-0001537,25
Uncle Arnie's - Strawberry Soda 100mg,2025-02-07 8:36:04,PO-0001295,120
Stiiizy - Black - Sweet Tangie 3.5g,2025-01-16 12:02:55,PO-0001226,480
Uncle Arnie's - Strawberry Soda 100mg,2025-02-13 13:24:53,PO-0001335,408
Stiiizy - Black - Sweet Tangie 3.5g,2025-01-31 10:54:33,PO-0001275,200
Uncle Arnie's - Strawberry Soda 100mg,2025-03-18 15:19:39,PO-0001443,240
Uncle Arnie's - Strawberry Soda 100mg,2025-01-28 11:29:27,PO-0001263,288
Jeeter - Acapulco Gold Infused Preroll 1g,2025-04-25 9:03:42,PO-0001578,300
Lost Farm - Raspberry (Wedding Cake) Live Resin Gummies 100mg,2025-01-07 9:35:20,PO-0001196,360
Lost Farm - Raspberry (Wedding Cake) Live Resin Gummies 100mg,2025-02-24 13:53:57,PO-0001366,288
Lost Farm - Raspberry (Wedding Cake) Live Resin Gummies 100mg,2025-04-01 11:21:50,PO-0001492,192
Lost Farm - Raspberry (Wedding Cake) Live Resin Gummies 100mg,2025-02-06 14:33:02,PO-0001292,48
Daily Dose - High C Syringe 1g,2025-04-14 9:23:53,PO-0001542,35
Lost Farm - Raspberry (Wedding Cake) Live Resin Gummies 100mg,2025-01-17 10:55:35,PO-0001231,216
Daily Dose - High C Syringe 1g,2025-02-07 9:28:05,PO-0001302,4
Daily Dose - High C Syringe 1g,2025-02-07 9:22:12,PO-0001296,5
Daily Dose - High C Syringe 1g,2025-02-07 9:24:43,PO-0001299,5
Daily Dose - High C Syringe 1g,2025-02-07 9:31:28,PO-0001305,5
Jeeter - Blue ZKZ Liquid Diamond Vape 1g,2025-01-15 12:35:02,PO-0001223,500
Jeeter - Blue ZKZ Liquid Diamond Vape 1g,2025-01-27 8:46:15,PO-0001253,150
Jeeter - Mimosa Infused Baby Preroll 5pk 2.5g,2025-02-28 14:53:10,PO-0001385,800
Daily Dose - High C Syringe 1g,2025-03-03 15:05:57,PO-0001388,10
Stiiizy - Strawnana 40's Mini Infused Preroll 5pk 2.5g,2025-04-16 12:41:28,PO-0001550,160
Daily Dose - High C Syringe 1g,2025-02-07 9:28:38,PO-0001303,1
Stiiizy - Skywalker 40's Mini Infused Preroll 5pk,2025-04-25 10:12:10,PO-0001580,330
Stiiizy - Skywalker 40's Mini Infused Preroll 5pk,2025-04-01 15:45:38,PO-0001494,500
Daily Dose - High C Syringe 1g,2025-02-07 9:25:14,PO-0001300,5
Stiiizy - Strawnana 40's Mini Infused Preroll 5pk 2.5g,2025-02-25 14:31:57,PO-0001373,220
Daily Dose - High C Syringe 1g,2025-02-07 9:29:46,PO-0001304,2
Stiiizy - Skywalker 40's Mini Infused Preroll 5pk,2025-03-21 13:40:13,PO-0001455,600
Stiiizy - Skywalker 40's Mini Infused Preroll 5pk,2025-02-25 14:31:57,PO-0001373,490
Stiiizy - Skywalker 40's Mini Infused Preroll 5pk,2025-01-16 12:02:55,PO-0001226,880
Vuze - L'Orange Live Resin Vape 1g,2025-01-06 16:08:43,PO-0001195,50
CES - Trop Sherbert Budder 1g,2025-02-05 16:13:23,PO-0001291,50
CES - Trop Sherbert Budder 1g,2025-02-19 12:38:31,PO-0001356,120
Good Tide - Guava Balanced Rosin Gummies 100mg,2025-03-12 13:55:09,PO-0001423,160
Good Tide - Guava Balanced Rosin Gummies 100mg,2025-03-28 10:15:19,PO-0001478,440
Vuze - Peach Cobbler Live Resin Vape 1g,2025-03-11 12:39:41,PO-0001418,100
West Coast Cure - Unobtainium OG Preroll 1g,2025-03-06 13:07:28,PO-0001401,250
St. Ides - Sample - Energy Blast Drink 100mg,2025-02-06 15:50:07,PO-0001293,90
Jeeter - Clutch Infused Preroll 0.5g,2025-03-24 11:28:09,PO-0001460,50
Stiiizy - Pineapple Express Pod .5g,2025-04-25 10:12:10,PO-0001580,100
Stiiizy - Pineapple Express Pod .5g,2025-02-25 14:31:57,PO-0001373,90
WVY - Guava Gelato Budder 1g,2025-04-02 11:49:22,PO-0001499,260
Astronauts -  Space Jawcrushers 3.5g,2025-03-04 13:37:44,PO-0001394,256
Astronauts -  Space Jawcrushers 3.5g,2025-03-18 14:51:41,PO-0001439,320
Stiiizy - Pineapple Express Pod .5g,2025-04-01 15:45:38,PO-0001494,200
Stiiizy - Pineapple Express Pod .5g,2025-03-21 13:40:13,PO-0001455,100
Stiiizy - Pineapple Express Pod .5g,2025-01-31 10:54:33,PO-0001275,200
Stiiizy - Strawnana 40's Mini Infused Preroll 5pk 2.5g,2025-01-22 10:20:28,PO-0001245,320
